D:\weblikefood\src\components\checkout\VoucherAndPoints.tsx: line 27, col 5, Warning - 'language' is defined but never used. (@typescript-eslint/no-unused-vars)
D:\weblikefood\src\components\checkout\VoucherPickerModal.tsx: line 9, col 41, Warning - 'Search' is defined but never used. (@typescript-eslint/no-unused-vars)
D:\weblikefood\src\components\checkout\VoucherPickerModal.tsx: line 9, col 49, Warning - 'ArrowRight' is defined but never used. (@typescript-eslint/no-unused-vars)
D:\weblikefood\src\components\checkout\VoucherPickerModal.tsx: line 49, col 13, Warning - 'language' is assigned a value but never used. (@typescript-eslint/no-unused-vars)
D:\weblikefood\src\components\checkout\VoucherPickerModal.tsx: line 103, col 18, Warning - 'error' is defined but never used. (@typescript-eslint/no-unused-vars)
D:\weblikefood\src\components\home\PersonalizedRecommendationsSection.tsx: line 13, col 10, Warning - 'Sparkles' is defined but never used. (@typescript-eslint/no-unused-vars)
D:\weblikefood\src\components\home\PersonalizedRecommendationsSection.tsx: line 13, col 20, Warning - 'TrendingUp' is defined but never used. (@typescript-eslint/no-unused-vars)
D:\weblikefood\src\components\home\PersonalizedRecommendationsSection.tsx: line 89, col 9, Warning - 'isPersonalized' is assigned a value but never used. (@typescript-eslint/no-unused-vars)
D:\weblikefood\src\components\navbar\SearchSuggestions.tsx: line 3, col 8, Warning - 'Link' is defined but never used. (@typescript-eslint/no-unused-vars)
D:\weblikefood\src\components\navbar\SearchSuggestions.tsx: line 4, col 10, Warning - 'motion' is defined but never used. (@typescript-eslint/no-unused-vars)
D:\weblikefood\src\components\navbar\SearchSuggestions.tsx: line 23, col 19, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
D:\weblikefood\src\components\navbar\SearchSuggestions.tsx: line 36, col 5, Warning - 'trendingKeywords' is defined but never used. (@typescript-eslint/no-unused-vars)
D:\weblikefood\src\components\product-quick-view\QuickViewModal.tsx: line 48, col 16, Warning - 'isVietnamese' is assigned a value but never used. (@typescript-eslint/no-unused-vars)
D:\weblikefood\src\components\product\ImageGallery.tsx: line 81, col 26, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
D:\weblikefood\src\components\product\ProductAdvisor.tsx: line 37, col 3, Warning - 'productName' is defined but never used. (@typescript-eslint/no-unused-vars)
D:\weblikefood\src\components\product\ProductCard.tsx: line 12, col 16, Warning - 'CardContent' is defined but never used. (@typescript-eslint/no-unused-vars)
D:\weblikefood\src\components\product\ProductCard.tsx: line 18, col 24, Warning - 'useCartActions' is defined but never used. (@typescript-eslint/no-unused-vars)
D:\weblikefood\src\components\product\ProductCard.tsx: line 140, col 13, Warning - 'language' is assigned a value but never used. (@typescript-eslint/no-unused-vars)
D:\weblikefood\src\components\product\ProductCardInfo.tsx: line 22, col 8, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
D:\weblikefood\src\components\product\ProductCardInfo.tsx: line 58, col 5, Warning - 'language' is defined but never used. (@typescript-eslint/no-unused-vars)
D:\weblikefood\src\components\product\QuickViewModal.tsx: line 12, col 8, Warning - 'Image' is defined but never used. (@typescript-eslint/no-unused-vars)
D:\weblikefood\src\components\product\WishlistButton.tsx: line 22, col 16, Warning - 'isVietnamese' is assigned a value but never used. (@typescript-eslint/no-unused-vars)
D:\weblikefood\src\components\profile\AddressList.tsx: line 41, col 16, Warning - '_isLoading' is defined but never used. (@typescript-eslint/no-unused-vars)
D:\weblikefood\src\components\profile\AddressList.tsx: line 42, col 22, Warning - '_showAddressForm' is defined but never used. (@typescript-eslint/no-unused-vars)
D:\weblikefood\src\components\profile\AddressList.tsx: line 43, col 21, Warning - '_editingAddress' is defined but never used. (@typescript-eslint/no-unused-vars)
D:\weblikefood\src\components\profile\AddressList.tsx: line 46, col 13, Warning - '_onSave' is defined but never used. (@typescript-eslint/no-unused-vars)
D:\weblikefood\src\components\profile\SecuritySection.tsx: line 31, col 23, Warning - 't' is assigned a value but never used. (@typescript-eslint/no-unused-vars)
D:\weblikefood\src\components\review\ReviewForm.tsx: line 109, col 22, Warning - '_error' is defined but never used. (@typescript-eslint/no-unused-vars)
D:\weblikefood\src\components\seo\RelatedPosts.tsx: line 55, col 17, Warning - Using `<img>` could result in slower LCP and higher bandwidth. Consider using `<Image />` from `next/image` to automatically optimize images. This may incur additional usage or cost from your provider. See: https://nextjs.org/docs/messages/no-img-element (@next/next/no-img-element)
D:\weblikefood\src\components\shared\CategoryShowcase.tsx: line 27, col 16, Warning - 'language' is assigned a value but never used. (@typescript-eslint/no-unused-vars)
D:\weblikefood\src\components\shared\ChatbotAI.tsx: line 366, col 6, Warning - React Hook useEffect has a missing dependency: 'closeAssistant'. Either include it or remove the dependency array. (react-hooks/exhaustive-deps)
D:\weblikefood\src\components\shared\ChatbotAIUltimate.tsx: line 33, col 3, Warning - 'Zap' is defined but never used. (@typescript-eslint/no-unused-vars)
D:\weblikefood\src\components\shared\ChatbotAIUltimate.tsx: line 36, col 3, Warning - 'Package' is defined but never used. (@typescript-eslint/no-unused-vars)
D:\weblikefood\src\components\shared\ChatbotAIUltimate.tsx: line 38, col 3, Warning - 'ShoppingCart' is defined but never used. (@typescript-eslint/no-unused-vars)
D:\weblikefood\src\components\shared\ChatbotAIUltimate.tsx: line 39, col 3, Warning - 'Gift' is defined but never used. (@typescript-eslint/no-unused-vars)
D:\weblikefood\src\components\shared\ChatbotAIUltimate.tsx: line 182, col 10, Warning - 'liveChatStatus' is assigned a value but never used. (@typescript-eslint/no-unused-vars)
D:\weblikefood\src\components\shared\ChatbotAIUltimate.tsx: line 183, col 10, Warning - 'liveChatAdminTyping' is assigned a value but never used. (@typescript-eslint/no-unused-vars)
D:\weblikefood\src\components\shared\ChatbotAIUltimate.tsx: line 199, col 6, Warning - React Hook useEffect has a missing dependency: 'isVietnamese'. Either include it or remove the dependency array. (react-hooks/exhaustive-deps)
D:\weblikefood\src\components\shared\ChatbotAIUltimate.tsx: line 254, col 6, Warning - React Hook useCallback has a missing dependency: 'stopPolling'. Either include it or remove the dependency array. (react-hooks/exhaustive-deps)
D:\weblikefood\src\components\shared\ComboRecommendation.tsx: line 127, col 23, Warning - Using `<img>` could result in slower LCP and higher bandwidth. Consider using `<Image />` from `next/image` to automatically optimize images. This may incur additional usage or cost from your provider. See: https://nextjs.org/docs/messages/no-img-element (@next/next/no-img-element)
D:\weblikefood\src\components\shared\Navbar.tsx: line 12, col 8, Warning - 'ImageWithFallback' is defined but never used. (@typescript-eslint/no-unused-vars)
D:\weblikefood\src\components\shared\Navbar.tsx: line 15, col 19, Warning - 'Sparkles' is defined but never used. (@typescript-eslint/no-unused-vars)
